,Borough,Neighborhood,Building_Class_Category,Tax Class At Present,Block,Lot,Ease-Ment,Building Class At Present,address,Apartment Number,Zip Code,Residential_Units,Commercial_Units,Total Units,Land_Square_Feet,Gross Square Feet,Year Built,Tax_Class_At_Time_Of_Sale,Building_Class_At_Time_Of_Sale,Sale_Price,sale date,latitude,longitude
9,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6399,8,,S1,1653 BATH AVENUE,,11214,1,1,2,"1,260","1,440",1930,1,S1,800000,3/31/2022,40.6057374,-74.0088017
10,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6399,107,,S1,1655 BATH AVENUE,,11214,1,1,2,"1,260","1,440",1930,1,S1,0,2/2/2022,40.6057045,-74.0087513
12,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6405,148,,S1,1865 BATH AVENUE,,11214,1,1,2,"1,124","1,800",1920,1,S1,955000,10/28/2022,40.6029517,-74.0039505
16,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6442,32,,S1,2014 BATH AVENUE,,11214,1,1,2,"1,245","1,596",1925,1,S1,0,7/25/2022,40.6010195,-74.0013144
21,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,141,,A5,1173 SHORE PARKWAY,,11214,1,0,1,"1,661","1,392",1950,1,A5,843000,5/19/2022,40.602597,-74.0127446
26,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,331,,A5,1131 SHORE PARKWAY,,11214,1,0,1,"2,380",986,1945,1,A5,880000,7/26/2022,40.6028988,-74.0138106
41,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6360,5,,B1,1513 BENSON AVENUE,,11228,2,0,2,"2,142","1,920",1945,1,B1,0,11/11/2022,40.6096678,-74.0106931
61,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6372,4,,B2,1913 BENSON AVENUE,,11214,2,0,2,"5,663","2,321",1930,1,B2,1388000,10/19/2022,40.6038219,-74.0019303
70,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,1,,B3,1465 BATH AVENUE,,11228,2,0,2,"5,800","2,956",1910,1,B3,0,2/15/2022,40.6083364,-74.0130158
71,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,7,,B3,1457 BATH AVENUE,,11228,2,0,2,"1,933","1,410",1920,1,B3,975000,6/21/2022,40.6085038,-74.0132932
72,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,10,,B3,1449 BATH AVENUE,,11228,2,0,2,"1,933","1,410",1920,1,B3,0,10/25/2022,40.6086026,-74.0134589
78,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6395,41,,B1,1534 BENSON AVENUE,,11228,2,0,2,"4,022","1,404",1925,1,B1,0,10/11/2022,40.6088719,-74.0103832
81,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6396,14,,B1,149 BAY 11 STREET,,11228,2,0,2,"1,949","2,235",1965,1,B1,1388000,6/23/2022,40.6074226,-74.0109232
83,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6396,26,,B1,121 BAY 11 STREET,,11228,2,0,2,"1,933","2,176",1925,1,B1,0,2/9/2022,40.6079414,-74.0103867
84,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6396,39,,B1,1554 BENSON AVENUE,,11228,2,0,2,"1,800","2,268",1930,1,B1,0,5/31/2022,40.6085069,-74.0098105
86,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6398,2,,S2,1645 BATH AVENUE,,11214,2,1,3,"2,082","3,000",1935,1,S2,739000,9/13/2022,40.6060229,-74.0091943
87,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6398,3,,S2,1643 BATH AVENUE,,11214,2,1,3,"4,166","4,000",1926,1,S2,1338000,12/27/2022,40.6060585,-74.0092519
92,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6402,71,,B1,55 RUTHERFORD PLACE,,11214,2,0,2,"1,820","2,910",1992,1,B1,1230000,2/25/2022,40.6055126,-74.0053084
98,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6424,1,,B9,1423 CROPSEY AVENUE,,11228,2,0,2,"2,166","1,765",1935,1,B9,0,11/16/2022,40.6074933,-74.0161453
99,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6424,9,,B9,1403 CROPSEY AVENUE,,11228,2,0,2,"1,885","1,765",1935,1,B9,0,2/22/2022,40.6077348,-74.0165848
100,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6424,10,,B9,1401 CROPSEY AVENUE,,11228,2,0,2,"1,907","2,012",1935,1,B9,0,4/11/2022,40.6077705,-74.0166424
112,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6431,103,,B1,1645 CROPSEY AVENUE,,11214,2,0,2,"1,526","1,537",1930,1,B1,0,8/1/2022,40.6046394,-74.0107535
113,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6432,37,,S2,1656 BATH AVENUE,,11214,2,1,3,"1,799","3,960",1925,1,S2,0,11/2/2022,40.60529,-74.0089961
114,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6432,37,,S2,1656 BATH AVENUE,,11214,2,1,3,"1,799","3,960",1925,1,S2,1050000,10/4/2022,40.60529,-74.0089961
116,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6442,31,,B9,2010 BATH AVENUE,,11214,2,0,2,708,"1,254",1925,1,B9,865000,6/15/2022,40.6011183,-74.0013864
117,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6443,33,,S2,2038 BATH AVENUE,,11214,2,1,3,"1,752","4,000",1925,1,S2,1500000,8/30/2022,40.6005336,-74.0006662
137,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6461,272,,B1,255 BAY 13 STREET,,11214,2,0,2,"1,649",928,1940,1,B1,0,7/25/2022,40.6042523,-74.0116141
140,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6463,92,,B1,1321 SHORE PARKWAY,,11214,2,0,2,"1,979","1,440",1950,1,B1,1155000,2/28/2022,40.6006623,-74.0087578
153,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6468,36,,B9,1425 SHORE PARKWAY,,11214,2,0,2,"2,406","1,993",1945,1,B9,720000,1/17/2023,40.5988647,-74.0057904
154,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6468,42,,B9,1409 SHORE PARKWAY,,11214,2,0,2,"2,090","2,292",1945,1,B9,0,3/23/2022,40.5990925,-74.0061685
155,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6468,47,,B9,1395 SHORE PARKWAY,,11214,2,0,2,"2,280","1,993",1945,1,B9,1080000,12/15/2022,40.5992956,-74.006507
157,3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6485,79,,B9,1109 SHORE PARKWAY,,11228,2,0,2,"1,961","1,224",1960,1,B9,949000,5/5/2022,40.6030991,-74.0147398
181,3,BATH BEACH,03 THREE FAMILY DWELLINGS,1,6396,42,,C0,1560 BENSON AVENUE,,11228,3,0,3,"1,799","2,268",1930,1,C0,1300000,6/29/2022,40.6084163,-74.0096592
184,3,BATH BEACH,03 THREE FAMILY DWELLINGS,1,6398,36,,C0,1630 BENSON AVENUE,,11214,3,0,3,"1,632","2,400",1955,1,C0,1790000,7/18/2022,40.6076479,-74.0082906
188,3,BATH BEACH,03 THREE FAMILY DWELLINGS,1,6406,10,,C0,8739 19TH AVENUE,,11214,3,0,3,"2,900","3,750",2020,1,C0,2392888,2/16/2022,40.6030259,-74.003079
213,3,BATH BEACH,03 THREE FAMILY DWELLINGS,1,6447,141,,C0,8788 BAY PARKWAY,,11214,3,0,3,"1,933","2,860",1970,1,C0,230000,8/12/2022,40.598239,-73.9981131
262,3,BATH BEACH,07 RENTALS - WALKUP APARTMENTS,2A,6397,53,,C3,106 BAY 13 STREET,,11214,4,0,4,"2,620","2,926",1923,2,C3,1575000,6/22/2022,40.6075902,-74.008946
268,3,BATH BEACH,07 RENTALS - WALKUP APARTMENTS,2A,6441,10,,C2,1961 CROPSEY AVENUE,,11214,5,0,5,"1,948","3,300",1907,2,C2,1500000,9/7/2022,40.6006983,-74.0032086
316,3,BATH BEACH,14 RENTALS - 4-10 UNIT,2A,6434,36,,S3,1740 BATH AVENUE,,11214,3,1,4,"1,900","3,021",1925,2,S3,1200000,4/26/2022,40.6043157,-74.0073826
317,3,BATH BEACH,14 RENTALS - 4-10 UNIT,2B,6437,28,,S9,1818 BATH AVENUE,,11214,4,3,7,"6,599","8,000",1920,2,S9,2267000,8/23/2022,40.603281,-74.0055819
319,3,BATH BEACH,14 RENTALS - 4-10 UNIT,2A,6440,32,,S4,1934 BATH AVENUE,,11214,4,1,5,"2,160","3,300",1923,2,S4,0,8/22/2022,40.6018731,-74.0029205
332,3,BATH BEACH,35 INDOOR PUBLIC AND CULTURAL FACILITIES,4,6407,1,,P9,1927 BATH AVENUE,,11214,0,4,4,"7,792","25,000",1931,4,P9,0,1/6/2023,40.6023397,-74.0026649
355,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5838,43,,A1,6662 SEDGWICK PLACE,,11220,1,0,1,"2,000","1,312",1925,1,A1,1320000,7/11/2022,40.6398518,-74.0292544
357,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5839,123,,A5,134 WAKEMAN PLACE,,11220,1,0,1,"1,080","1,260",1940,1,A5,971250,5/11/2022,40.6401073,-74.0283969
358,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5839,124,,A5,138 WAKEMAN PLACE,,11220,1,0,1,"1,079","1,260",1940,1,A5,21000,7/15/2022,40.6400469,-74.028296
362,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5860,91,,A5,86 68 STREET,,11220,1,0,1,"2,828","1,254",1925,1,A5,0,12/21/2022,40.6384456,-74.0324173
363,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5860,119,,A5,6822 COLONIAL ROAD,,11220,1,0,1,"2,004","1,296",1925,1,A5,0,2/28/2022,40.6378146,-74.0313757
364,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5860,134,,A5,6820 BLISS TERRACE,,11220,1,0,1,"1,574","1,254",1925,1,A5,980000,6/24/2022,40.6380724,-74.0321001
365,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5860,214,,A5,6811 BLISS TERRACE,,11220,1,0,1,"1,754","1,254",1925,1,A5,0,9/20/2022,40.6381275,-74.0315308
367,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5865,68,,A5,6816 VISTA PLACE,,11220,1,0,1,"1,600","1,248",1920,1,A5,1100000,7/21/2022,40.6332114,-74.0197508
368,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5866,7,,A5,6809 6 AVENUE,,11220,1,0,1,"1,846","1,472",1925,1,A5,1050000,10/14/2022,40.6326573,-74.0181077
369,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5866,12,,A5,616 68 STREET,,11220,1,0,1,"2,000","1,312",1925,1,A5,1288000,9/19/2022,40.6325914,-74.0178339
370,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5871,90,,A5,26 BAY RIDGE PLACE,,11209,1,0,1,"1,600","2,112",1920,1,A5,1390000,5/18/2022,40.6357321,-74.0283518
371,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5871,109,,A5,25 BAY RIDGE PLACE,,11209,1,0,1,"1,882","1,400",1920,1,A5,900000,4/5/2022,40.6356087,-74.0279266
373,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5882,49,,A5,7007 LOUISE TERRACE,,11209,1,0,1,944,"1,224",1925,1,A5,975000,8/2/2022,40.6365601,-74.0320885
374,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5884,27,,A2,82 MACKAY PLACE,,11209,1,0,1,"2,200","1,501",1950,1,A2,0,5/11/2022,40.6361398,-74.0329819
375,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5884,36,,A5,98 MACKAY PLACE,,11209,1,0,1,"1,183","1,142",1935,1,A5,975000,10/14/2022,40.6359835,-74.0324485
376,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5885,73,,A5,7020 PERRY TERRACE,,11209,1,0,1,"1,983","1,520",1920,1,A5,898000,5/11/2022,40.6356328,-74.0303154
379,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5891,85,,A5,7109 RIDGE COURT,,11209,1,0,1,"1,650","1,048",1925,1,A5,0,11/16/2022,40.6336549,-74.025656
380,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5891,104,,A5,7106 RIDGE COURT,,11209,1,0,1,"1,617","1,388",1925,1,A5,915000,2/22/2022,40.6338689,-74.0260416
381,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5896,55,,S1,7024 FT HAMILTON PARKWAY,,11228,1,1,2,"1,607","1,920",1930,1,S1,1250000,8/2/2022,40.6279643,-74.0137474
391,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5929,74,,A1,321 BAY RIDGE PARKWAY,,11209,1,0,1,"3,133","1,995",1901,1,A1,1085000,10/21/2022,40.6315493,-74.0271684
393,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5930,64,,S1,459 BAY RIDGE PARKWAY,,11209,1,1,2,"1,883","2,520",1899,1,S1,1469000,7/14/2022,40.6302327,-74.0233166
394,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5930,77,,S1,431 BAY RIDGE PARKWAY,,11209,1,1,2,"1,613","2,880",1899,1,S1,1290000,3/16/2022,40.6306278,-74.0240084
397,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5941,14,,A4,418 BAY RIDGE PARKWAY,,11209,1,0,1,"2,000","1,924",1910,1,A4,810000,3/21/2022,40.630334,-74.0246136
398,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5941,36,,S1,472 BAY RIDGE PARKWAY,,11209,1,1,2,"2,000","2,700",1910,1,S1,1175000,8/24/2022,40.6295849,-74.0233668
400,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5943,27,,S1,648 BAY RIDGE PARKWAY,,11209,1,1,2,"2,350","2,632",1925,1,S1,0,1/1/2023,40.6269781,-74.0190573
401,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5943,29,,A5,654 BAY RIDGE PARKWAY,,11209,1,0,1,"2,355","1,707",1925,1,A5,1125000,5/10/2022,40.6268986,-74.0189275
403,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5947,51,,A1,89 77 STREET,,11209,1,0,1,"3,444","1,620",1920,1,A1,1450000,4/29/2022,40.6316408,-74.0341866
405,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5952,31,,A5,7602 6 AVENUE,,11209,1,0,1,"1,852","2,151",1925,1,A5,1400000,12/2/2022,40.6273154,-74.0208874
409,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5956,68,,A1,7 79 STREET,,11209,1,0,1,"2,600","1,328",1925,1,A1,1050000,1/31/2023,40.6313595,-74.0382755
414,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5958,1,,A9,7725 COLONIAL ROAD,,11209,1,0,1,"2,600","1,478",1925,1,A9,1420000,5/10/2022,40.6306034,-74.0336817
415,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5958,8,,A9,7705 COLONIAL ROAD,,11209,1,0,1,"2,300","1,332",1925,1,A9,1495000,7/28/2022,40.6310124,-74.0335161
417,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5959,8,,A1,7701 RIDGE BOULEVARD,,11209,1,0,1,"3,750","3,642",2019,1,A1,0,5/31/2022,40.630467,-74.0308066
421,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5961,66,,A9,427 78 STREET,,11209,1,0,1,"2,000","1,376",1925,1,A9,850000,6/8/2022,40.6284098,-74.0250344
423,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5966,41,,A1,7814 COLONIAL ROAD,,11209,1,0,1,"2,300","1,649",1935,1,A1,1400000,11/10/2022,40.6302628,-74.0345065
425,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5967,42,,A1,7810 RIDGE BOULEVARD,,11209,1,0,1,"3,700","2,420",1925,1,A1,1790000,3/29/2022,40.6296844,-74.0318006
433,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5975,136,,A3,8121 SHORE ROAD,,11209,1,0,1,"21,041","4,754",1915,1,A3,7425000,5/17/2022,40.6288806,-74.0394486
434,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5975,185,,A3,8045 SHORE ROAD,,11209,1,0,1,"7,680","4,218",1930,1,A3,4400000,12/19/2022,40.62952,-74.0397624
435,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5977,7,,A1,7909 COLONIAL ROAD,,11209,1,0,1,"2,767","1,552",1925,1,A1,1360000,12/20/2022,40.6295081,-74.0341386
439,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5985,39,,A3,8002 COLONIAL ROAD,,11209,1,0,1,"6,933","2,640",1925,1,A3,2750000,4/7/2022,40.6290083,-74.0350138
447,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5988,54,,A5,367 81 STREET,,11209,1,0,1,"2,187","1,328",1910,1,A5,1380000,2/18/2022,40.626831,-74.0274258
458,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6003,72,,A1,7 83 STREET,,11209,1,0,1,"5,000","2,886",1910,1,A1,2800000,3/25/2022,40.6281038,-74.0393689
459,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6005,38,,A3,8204 RIDGE BOULEVARD,,11209,1,0,1,"4,999","2,686",1920,1,A3,1800000,1/20/2023,40.6269393,-74.0329233
462,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6013,42,,A1,20 SHORE ROAD LANE,,11209,1,0,1,"4,940","2,892",1925,1,A1,0,9/14/2022,40.6263387,-74.0400775
463,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6013,44,,A9,24 SHORE ROAD LANE,,11209,1,0,1,"5,167","2,803",1950,1,A9,0,5/23/2022,40.6262921,-74.0398973
464,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6013,50,,A1,36 SHORE ROAD LANE,,11209,1,0,1,"5,419","2,408",1925,1,A1,2041000,9/2/2022,40.6263664,-74.0394075
466,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6013,81,,A3,8375 SHORE ROAD,,11209,1,0,1,"6,639","2,460",1920,1,A3,0,9/14/2022,40.6261959,-74.0402864
467,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6013,81,,A3,8375 SHORE ROAD,,11209,1,0,1,"6,639","2,460",1920,1,A3,3400000,7/12/2022,40.6261959,-74.0402864
472,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6020,38,,A9,8316 7 AVENUE,,11228,1,0,1,"2,639","1,840",1925,1,A9,1232000,5/3/2022,40.6204754,-74.0207376
477,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6028,3,,S1,8419 FT HAMILTON PARKWAY,,11209,1,1,2,"2,400","2,736",1920,1,S1,1462000,3/31/2022,40.6209004,-74.0232196
480,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6040,14,,A3,8621 SHORE ROAD,,11209,1,0,1,"2,400","1,560",1925,1,A3,1350000,2/10/2022,40.6250239,-74.0403073
487,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6053,32,,A5,26 GATLING PLACE,,11209,1,0,1,"1,524","1,010",1925,1,A5,10,6/1/2022,40.6194976,-74.0244259
488,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6053,35,,A5,30 GATLING PLACE,,11209,1,0,1,"1,383",943,1925,1,A5,820000,6/28/2022,40.6194042,-74.0245231
489,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6053,37,,A5,34 GATLING PLACE,,11209,1,0,1,"1,384",943,1925,1,A5,415000,5/13/2022,40.6193411,-74.0245771
490,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6055,1,,A5,39 DAHLGREN PLACE,,11228,1,0,1,958,"1,102",1925,1,A5,950000,7/13/2022,40.6185426,-74.0234241
493,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6060,13,,A5,124 88 STREET,,11209,1,0,1,"2,500","1,632",1920,1,A5,0,4/27/2022,40.6229254,-74.0363111
495,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6063,7,,A5,8909 RIDGE BOULEVARD,,11209,1,0,1,"1,800","1,560",1920,1,A5,1375000,5/25/2022,40.6216689,-74.0344192
498,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6072,16,,A5,49 BATTERY AVENUE,,11228,1,0,1,"1,626",932,1925,1,A5,0,9/14/2022,40.6176589,-74.022725
500,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6084,9,,A1,9105 COLONIAL ROAD,,11209,1,0,1,"2,376","1,344",1925,1,A1,0,7/19/2022,40.6210311,-74.0376104
503,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6085,61,,A5,241 92 STREET,,11209,1,0,1,"2,000","2,640",1925,1,A5,1335000,7/12/2022,40.6198492,-74.0340112
509,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6107,85,,A5,9318 LAFAYETTE WALK,,11209,1,0,1,930,910,1925,1,A5,787500,5/2/2022,40.6175854,-74.0317048
510,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6107,96,,A5,9321 HAMILTON WALK,,11209,1,0,1,922,910,1925,1,A5,920000,8/8/2022,40.6176348,-74.0319714
511,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6107,100,,A5,9329 HAMILTON WALK,,11209,1,0,1,923,910,1925,1,A5,500000,3/11/2022,40.617514,-74.0320722
512,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6111,29,,A1,52 94 STREET,,11209,1,0,1,"2,000","1,352",1925,1,A1,1350000,4/18/2022,40.6182205,-74.0374648
513,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6126,24,,A5,340 97 STREET,,11209,1,0,1,867,"1,260",1925,1,A5,895000,1/13/2023,40.6151751,-74.0331876
514,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6126,70,,A5,9708 BARWELL TERRACE,,11209,1,0,1,980,980,1925,1,A5,0,8/8/2022,40.6151942,-74.0335298
515,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6126,74,,A5,9705 BARWELL TERRACE,,11209,1,0,1,980,"1,470",1925,1,A5,730000,3/11/2022,40.6151229,-74.0332957
516,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6126,76,,A5,9709 BARWELL TERRACE,,11209,1,0,1,980,980,1925,1,A5,860000,7/7/2022,40.6150597,-74.0333533
517,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6127,1,,A5,439 MARINE AVENUE,,11209,1,0,1,"1,429",936,1930,1,A5,780000,9/8/2022,40.6136715,-74.0313428
518,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6127,3,,A5,435 MARINE AVENUE,,11209,1,0,1,"1,430",936,1930,1,A5,770000,3/2/2022,40.6137099,-74.031422
519,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6127,58,,A5,443 MARINE AVENUE,,11209,1,0,1,"1,429",936,1930,1,A5,680000,11/4/2022,40.6136303,-74.0312599
521,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6131,7,,A5,443 99 STREET,,11209,1,0,1,"1,657","1,680",1940,1,A5,945000,7/29/2022,40.6129522,-74.0317746
522,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6131,10,,A5,433 99 STREET,,11209,1,0,1,"1,658","1,680",1940,1,A5,998000,5/27/2022,40.6130784,-74.0320232
524,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6131,33,,A9,426 MARINE AVENUE,,11209,1,0,1,"1,883","1,410",1925,1,A9,1025000,6/10/2022,40.6134352,-74.0320738
525,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6131,40,,A9,444 MARINE AVENUE,,11209,1,0,1,"2,199","1,410",1925,1,A9,0,8/11/2022,40.6132048,-74.0316091
529,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6142,78,,A5,246 BATTERY AVENUE,,11209,1,0,1,"2,169","2,072",1925,1,A5,0,8/23/2022,40.6137468,-74.0262787
530,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6143,28,,A9,177 BATTERY AVENUE,,11209,1,0,1,"2,939","1,596",1915,1,A9,0,7/15/2022,40.6148643,-74.0248024
531,3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,6143,63,,A5,301 BATTERY AVENUE,,11209,1,0,1,"1,440","1,312",1935,1,A5,950000,2/25/2022,40.6122866,-74.0262241
535,3,BAY RIDGE,02 TWO FAMILY DWELLINGS,1,5763,63,,B1,835 68 STREET,,11220,2,0,2,"2,017","2,216",1940,1,B1,1548000,3/16/2022,40.6305033,-74.0131859
540,3,BAY RIDGE,02 TWO FAMILY DWELLINGS,1,5840,9,,B2,6659 BERGEN PLACE,,11220,2,0,2,"2,000","1,155",1925,1,B2,1158000,5/24/2022,40.6391659,-74.0281191
541,3,BAY RIDGE,02 TWO FAMILY DWELLINGS,1,5840,12,,B1,6653 BERGEN PLACE,,11220,2,0,2,"2,000","1,920",1950,1,B1,1250000,5/4/2022,40.6392977,-74.0279858
542,3,BAY RIDGE,02 TWO FAMILY DWELLINGS,1,5850,67,,B9,329 SENATOR STREET,,11220,2,0,2,"2,000","3,120",1910,1,B9,0,2/18/2022,40.6369956,-74.0245115
543,3,BAY RIDGE,02 TWO FAMILY DWELLINGS,1,5850,70,,B9,321 SENATOR STREET,,11220,2,0,2,"2,000","3,120",1910,1,B9,0,5/31/2022,40.6370724,-74.0247061
544,3,BAY RIDGE,02 TWO FAMILY DWELLINGS,1,5852,20,,B1,148 SENATOR STREET,,11220,2,0,2,"2,000","2,348",1915,1,B1,500000,6/2/2022,40.6383888,-74.0295276
545,3,BAY RIDGE,02 TWO FAMILY DWELLINGS,1,5852,44,,B1,6746 RIDGE BOULEVARD,,11220,2,0,2,"2,060","3,080",1905,1,B1,900000,2/24/2022,40.6376589,-74.0285328
546,3,BAY RIDGE,02 TWO FAMILY DWELLINGS,1,5853,22,,B1,238 SENATOR STREET,,11220,2,0,2,"1,740","2,520",1925,1,B1,990000,2/9/2022,40.637533,-74.026933
547,3,BAY RIDGE,02 TWO FAMILY DWELLINGS,1,5853,24,,B1,244 SENATOR STREET,,11220,2,0,2,"2,550","3,250",1925,1,B1,0,6/16/2022,40.6374782,-74.0267888
548,3,BAY RIDGE,02 TWO FAMILY DWELLINGS,1,5853,29,,B1,252 SENATOR STREET,,11220,2,0,2,"1,701","2,698",1950,1,B1,1130000,3/30/2022,40.6373712,-74.026497
549,3,BAY RIDGE,02 TWO FAMILY DWELLINGS,1,5854,17,,B9,330 SENATOR STREET,,11220,2,0,2,"2,080","2,880",1915,1,B9,1825000,5/13/2022,40.6365674,-74.0246807
550,3,BAY RIDGE,02 TWO FAMILY DWELLINGS,1,5854,20,,B9,338 SENATOR STREET,,11220,2,0,2,"2,100","2,880",1899,1,B9,0,5/27/2022,40.6364906,-74.0244933
551,3,BAY RIDGE,02 TWO FAMILY DWELLINGS,1,5854,21,,B9,340 SENATOR STREET,,11220,2,0,2,"2,120","2,880",1915,1,B9,1845000,7/14/2022,40.6364631,-74.0244285
