,Borough,Neighborhood,Building_Class_Category,Tax Class At Present,Block,Lot,Ease-Ment,Building Class At Present,address,Apartment Number,Zip Code,Residential_Units,Commercial_Units,Total Units,Land_Square_Feet,Gross Square Feet,Year Built,Tax_Class_At_Time_Of_Sale,Building_Class_At_Time_Of_Sale,Sale_Price,sale date,latitude,longitude
1544,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1672,39,,B1,594 MACON STREET,,11233,2,0,2,"1,900","2,424",1899,1,B1,0,5/11/2022,40.6834742,-73.9267711
1545,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1672,50,,B3,222 PATCHEN AVENUE,,11233,2,0,2,"1,600","2,568",1899,1,B3,0,4/2/2022,40.683183,-73.9263964
1549,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1673,45,,B1,680 MACON STREET,,11233,2,0,2,"1,800","2,388",1901,1,B1,0,5/20/2022,40.6838509,-73.9235004
1552,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1675,30,,B9,348 MAC DONOUGH STREET,,11233,2,0,2,"2,000","3,600",1899,1,B9,0,2/14/2022,40.6820614,-73.9325522
1553,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1675,32,,B1,362 MAC DONOUGH STREET,,11233,2,0,2,"1,942","3,580",1899,1,B1,0,3/11/2022,40.6820751,-73.9324116
1554,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1675,54,,B3,273 DECATUR STREET,,11233,2,0,2,"1,817","3,352",1899,1,B3,15000,4/20/2022,40.681735,-73.9329348
1556,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1677,18,,B1,462 MAC DONOUGH STREET,,11233,2,0,2,"1,666","2,096",1899,1,B1,0,11/10/2022,40.6825857,-73.9279871
1557,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1677,80,,B3,381 DECATUR STREET,,11233,2,0,2,"1,717","2,182",1899,1,B3,0,8/31/2022,40.6822702,-73.9282867
1558,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1679,3,,B3,146 DECATUR STREET,,11233,2,0,2,"2,000","3,648",1899,1,B3,36910,5/5/2022,40.6807713,-73.9372911
1559,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1679,25,,B3,188 DECATUR STREET,,11233,2,0,2,"1,700","2,475",1899,1,B3,0,11/11/2022,40.6809407,-73.9358055
1560,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1679,30,,B3,196 DECATUR STREET,,11233,2,0,2,"2,000","2,590",1899,1,B3,1700000,9/28/2022,40.6809762,-73.9354882
1561,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1679,32,,B3,200 DECATUR STREET,,11233,2,0,2,"2,000","2,590",1899,1,B3,333333,10/12/2022,40.6809926,-73.9353439
